0.83512,0.96278
0.023508,0.75481
0.64133,0.16842
0.54143,0.83249
0.18281,0.93183
0.22911,0.82229
0.95659,0.74975
0.88088,0.00058176
0.30617,0.55681
0.37284,0.70626
0.94649,0.54013
0.011166,0.64684
0.3839,0.082215
0.26531,0.91552
0.064049,0.46217
0.41038,0.087161
0.66402,0.87893
0.28177,0.82979
0.29673,0.38263
0.49092,0.97824
0.77351,0.012004
0.62491,0.78015
0.40388,0.017399
0.31338,0.10708
0.5115,0.13746
0.95676,0.48504
0.41673,0.54716
0.063078,0.96493
0.85372,0.58692
0.53565,0.11988
0.07143,0.30504
0.68219,0.31023
0.28464,0.28615
0.32979,0.12967
0.10983,0.10547
0.64652,0.7079
0.87771,0.2601
0.88948,0.91451
0.96093,0.42891
0.60533,0.99598
0.056519,0.71972
0.55114,0.53227
0.82651,0.71735
0.32452,0.79529
0.41416,0.4745
0.20095,0.11653
0.17778,0.53963
0.98583,0.27464
0.26111,0.22195
0.98081,0.73442
0.09263,0.24417
0.7072,0.19565
0.041854,0.38953
0.7144,0.50841
0.76281,0.61939
0.88322,0.74671
0.64109,0.68515
0.071841,0.08395
0.3581,0.89198
0.7796,0.81722
0.11646,0.45161
0.97487,0.43678
0.43863,0.51163
0.56075,0.21542
0.8956,0.70172
0.99002,0.30215
0.72802,0.87375
0.24486,0.49907
0.17093,0.51284
0.80063,0.53148
0.98791,0.025204
0.33594,0.065985
0.77649,0.44002
0.41666,0.94735
0.70713,0.98851
0.5024,0.72003
0.24971,0.30036
0.43429,0.6699
0.81668,0.25131
0.54171,0.20379
0.42283,0.94226
0.93541,0.66618
0.065779,0.5346
0.34237,0.22142
0.6805,0.97413
0.3179,0.40526
0.74425,0.89002
0.40297,0.61014
0.77123,0.21083
0.22097,0.54041
0.59377,0.25766
0.93294,0.83498
0.86722,0.496
0.75407,0.33694
0.80655,0.84266
0.73741,0.040326
0.52997,0.056794
0.50533,0.53178
0.34297,0.72407
0.74331,0.1169
